dgp,T,S,N,s_est,mse,mdcj,additional_info
5,33,2,25,NaN,NaN,NaN,
5,33,2,50,NaN,NaN,NaN,
5,33,2,100,NaN,NaN,NaN,
5,33,2,200,NaN,NaN,NaN,
5,33,3,25,NaN,NaN,NaN,
5,33,3,50,NaN,NaN,NaN,
5,33,3,100,NaN,NaN,NaN,
5,33,3,200,NaN,NaN,NaN,
5,65,1,25,NaN,NaN,NaN,
5,65,1,50,NaN,NaN,NaN,
5,65,1,100,NaN,NaN,NaN,
5,65,1,200,NaN,NaN,NaN,
5,65,2,25,NaN,NaN,NaN,
5,65,2,50,NaN,NaN,NaN,
5,65,2,100,NaN,NaN,NaN,
5,65,2,200,NaN,NaN,NaN,
5,65,3,25,NaN,NaN,NaN,
5,65,3,50,NaN,NaN,NaN,
5,65,3,100,NaN,NaN,NaN,
5,65,3,200,NaN,NaN,NaN,
5,129,1,25,NaN,NaN,NaN,
5,129,1,50,NaN,NaN,NaN,
5,129,1,100,NaN,NaN,NaN,
5,129,1,200,NaN,NaN,NaN,
5,129,2,25,NaN,NaN,NaN,
5,129,2,50,NaN,NaN,NaN,
5,129,2,100,NaN,NaN,NaN,
5,129,2,200,NaN,NaN,NaN,
5,129,3,25,NaN,NaN,NaN,
5,129,3,50,NaN,NaN,NaN,
5,129,3,100,NaN,NaN,NaN,
5,129,3,200,NaN,NaN,NaN,
6,33,1,25,NaN,NaN,NaN,
6,33,1,50,NaN,NaN,NaN,
6,33,1,100,NaN,NaN,NaN,
6,33,1,200,NaN,NaN,NaN,
6,33,2,25,NaN,NaN,NaN,
6,33,2,50,NaN,NaN,NaN,
6,33,2,100,NaN,NaN,NaN,
6,33,2,200,NaN,NaN,NaN,
6,33,3,25,NaN,NaN,NaN,
6,33,3,50,NaN,NaN,NaN,
6,33,3,100,NaN,NaN,NaN,
6,33,3,200,NaN,NaN,NaN,
6,65,1,25,NaN,NaN,NaN,
6,65,1,50,NaN,NaN,NaN,
6,65,1,100,NaN,NaN,NaN,
6,65,1,200,NaN,NaN,NaN,
6,65,2,25,NaN,NaN,NaN,
6,65,2,50,NaN,NaN,NaN,
6,65,2,100,NaN,NaN,NaN,
6,65,2,200,NaN,NaN,NaN,
6,65,3,25,NaN,NaN,NaN,
6,65,3,50,NaN,NaN,NaN,
6,65,3,100,NaN,NaN,NaN,
6,65,3,200,NaN,NaN,NaN,
6,129,1,25,NaN,NaN,NaN,
6,129,1,50,NaN,NaN,NaN,
6,129,1,100,NaN,NaN,NaN,
6,129,1,200,NaN,NaN,NaN,
6,129,2,25,NaN,NaN,NaN,
6,129,2,50,NaN,NaN,NaN,
6,129,2,100,NaN,NaN,NaN,
6,129,2,200,NaN,NaN,NaN,
6,129,3,25,NaN,NaN,NaN,
6,129,3,50,NaN,NaN,NaN,
6,129,3,100,NaN,NaN,NaN,
6,129,3,200,NaN,NaN,NaN,
