T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,25,3.714,0.0369073549338665,0.0438250048476711,7.398,5.25,nsim = 500
33,50,3.116,0.0116348106297712,0.0119806571293565,6.158,5.02,rng = 321
33,100,3.008,0.00485557107918218,0.00495814865459526,6.004,5,n.grid = 40
33,200,3,0.0026034218482509,0.0027152506604472,6,5,ellapsed time = 101580.7785
65,25,3.85,0.0217717429615016,0.0254165236024034,13.436,10.072,
65,50,3.186,0.00611091162172794,0.00717516524077484,11.498,10.01,
65,100,3.006,0.0026744720187965,0.00267491520514301,11,9.998,
65,200,3,0.00137687509786468,0.00131266907773543,11,10,
129,25,4.184,0.015926870500511,0.0199201094842344,27.41,20.886,
129,50,3.33,0.00371526579814719,0.00440977342619206,23.198,21.024,
129,100,3.006,0.00136609063185344,0.00142323283000827,22.006,21,
129,200,3,0.000685143578501315,0.000684671841897507,22,21,
