T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,50,4.088,0.011676697311823,0.0126211952225648,7.024,7.02,nsim = 500
33,100,4.004,0.00570465235772085,0.00552609171094975,7,7,rng = 321
33,200,4,0.0026830157309105,0.00271792323648435,7,7,n.grid = 40
33,300,4,0.0018745089447994,0.0017989490735071,7,7,ellapsed time = 25916.9867
65,50,4.134,0.00731643444640272,0.00663016517339207,13.03,13.05,
65,100,4,0.00278379769548229,0.00292804346872058,13.002,13,
65,200,4,0.0014088560953257,0.00146752499396297,13,13,
65,300,4,0.000915370807124156,0.000984742306863922,13,13,
129,50,4.202,0.00361445336269318,0.00407976887920991,26.086,26.088,
129,100,4.006,0.00152797342837931,0.00152298640203142,26,26,
129,200,4,0.000731436381926089,0.000734133233831712,26,26,
129,300,4,0.000463398806789453,0.000517240840543206,26,26,
