dgp,T,S,N,s_est,mise,mdcj,hd,s_0,additional_info
4,65,3,50,3,0.000668550172489207,0,0,0,
4,65,3,100,3,0.000350554523715451,0,0,0,
4,65,3,200,3,0.000171290628374892,0,0,0,
4,129,1,25,1,0.000356760737167083,0,0,0,
4,129,1,50,1,0.000183037808987298,0,0,0,
4,129,1,100,1,8.67787836694581e-05,0,0,0,
4,129,1,200,1,4.27774719358893e-05,0,0,0,
4,129,2,25,2,0.000544890452073819,0,0.002,0,
4,129,2,50,2,0.000255566002512626,0,0,0,
4,129,2,100,2,0.000122976533054606,0,0,0,
4,129,2,200,2,6.6732910442832e-05,0,0,0,
4,129,3,25,3.002,0.000752886963511705,0.002,0.018,0,
4,129,3,50,3,0.000342756908861521,0,0,0,
4,129,3,100,3,0.000166606999030132,0,0,0,
4,129,3,200,3,8.58940089010576e-05,0,0,0,
