T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,50,4.026,0.00873085792259124,0.00838796798027446,7.006,7.004,nsim = 500
33,150,4,0.00264418793554713,0.00261126382297344,7,7,rng = 321
33,300,4,0.00136655397201582,0.00128558114881317,7,7,n.grid = 40
65,50,4.04,0.00448403808238775,0.00476254296299204,13.01,13.002,ellapsed time = 18511.6656
65,150,4,0.00140013685003031,0.00142520977623905,13,13,
65,300,4,0.000751050395661399,0.000743506219734437,13,13,
129,50,4.086,0.00235699331981737,0.00244993046333895,26.042,26.036,
129,150,4,0.000734726865685927,0.000753283047263831,26,26,
129,300,4,0.000363975755457844,0.000341007731327932,26,26,
