T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,50,4.026,0.00873102861518073,0.00838156230304434,7.006,7.004,nsim = 500
33,150,4,0.00267521657513709,0.00268979375282221,7,7,rng = 321
33,300,4,0.00133444762077191,0.00134222922838522,7,7,n.grid = 40
65,50,4.036,0.00450885473853198,0.00449486369001483,13.006,13.004,ellapsed time = 18446.4675
65,150,4,0.00143519666923366,0.00139366147259859,13,13,
65,300,4,0.000707868211544729,0.000706180641422788,13,13,
129,50,4.06,0.00237830315635382,0.00233488051362613,26.014,26.008,
129,150,4,0.000724791645048913,0.000718804575625886,26,26,
129,300,4,0.000357384018785043,0.000363767222055905,26,26,
