T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,taed_mean,taed_sd
33,1,30,4.296,2.38153888377029,0.0367703961095048,0.0264953777428296,0,0,0.239515151515151,0.14445436576239,0,2.11649117964615,0.0541905768403844
33,1,60,2.558,1.77790829792531,0.0122552566290062,0.0121447505790904,0,0,0.130909090909091,0.13798720392984,0,2.06673128305052,0.0249862803350757
33,1,120,1.736,1.26550662346274,0.0041932855060508,0.00570935765522629,0,0,0.064,0.110120844112521,0,2.05023694624858,0.0117429519016047
33,1,300,1.188,0.526507759526565,0.000925058892211216,0.00147679126887007,0,0,0.0141818181818182,0.052407230694309,0,2.04354526242461,0.00302904601684787
33,2,30,5.25,2.38891478032501,0.0365871046823376,0.0259085709397346,0,0,0.131030303030303,0.0792567946343023,0,2.11633784150936,0.0531557902919865
33,2,60,3.746,1.88695660003638,0.0131109252318004,0.0117044964573128,0,0,0.0796363636363636,0.0774637293053293,0,2.06843112343837,0.0240858363057176
33,2,120,2.612,1.14195627248004,0.00397351704316867,0.00475787293100415,0,0,0.0329090909090909,0.0560848015748902,0,2.04975486797266,0.00978319224579616
33,2,300,2.112,0.489832493556202,0.000934408303584728,0.00128833720500281,0,0,0.00684848484848485,0.0295174170508543,0,2.04355015720306,0.00263386793604575
33,3,30,5.51,1.69577454356563,0.03696343689771,0.0236158080209487,0,0,0.0735757575757576,0.0616657225480015,0,2.11701897518437,0.0484424580464692
33,3,60,4.4,1.23736095148041,0.0145911383568173,0.0109585932993763,0,0,0.0360606060606061,0.03732238460734,0,2.07152038977532,0.0225487491636506
33,3,120,3.77,0.854728683410408,0.00577678222783586,0.00477823390592663,0,0,0.0212121212121212,0.0261993310883417,0,2.05347483371504,0.00983196418685011
33,3,300,3.262,0.523358202013908,0.00170794754885274,0.00171924289486082,0,0,0.00733333333333333,0.0140792632053933,0,2.04514186528802,0.00353773967994388
65,1,30,4.242,3.33311495610656,0.0210392944091888,0.019587096156972,0,0,0.205753846153846,0.168466767665785,0,2.08421720824065,0.0396869860867411
65,1,60,2.092,1.98479591637511,0.00537879814022276,0.00776672935453256,0,0,0.0907384615384616,0.143469706555765,0,2.05254336319861,0.0157533038724943
65,1,120,1.33,0.939609350455244,0.00143338016256118,0.00261614076677437,0,0,0.0332615384615385,0.0932277206873928,0,2.04455967254668,0.00530457162079593
65,1,300,1.014,0.184042776242302,0.00025853622644187,0.000382543008238779,0,0,0.00132307692307692,0.017083644832894,0,2.04218442747314,0.000772394027493398
65,2,30,5.31,3.28625911911949,0.02350608192172,0.0200018403205476,0,0,0.115015384615385,0.0948089062272292,0,2.08919700059964,0.0405298889879617
65,2,60,3.236,1.9565172935192,0.00652986339463592,0.00788350075454878,0,0,0.0544,0.0786045662098001,0,2.05486300578231,0.015986147224454
65,2,120,2.296,0.93065365870711,0.0016490736275953,0.00264044872500472,0,0,0.0149846153846154,0.0443384932251621,0,2.04498847448226,0.00535497289508671
65,2,300,2.034,0.25489987817924,0.00040454118581641,0.000574016910864972,0,0,0.00196923076923077,0.0162074982379874,0,2.04247823298024,0.00116242978569888
65,3,30,6.176,3.18391246694918,0.0235808328822133,0.0197807267163894,0,0,0.0723692307692308,0.0567932808730153,0,2.0893721022882,0.0401283111014676
65,3,60,4.11,1.9018765124311,0.00677047325944496,0.00788342807257222,0,0,0.0312307692307692,0.0443485907366412,0,2.05535480342252,0.0159954888947561
65,3,120,3.356,0.956605555271739,0.00205574535094225,0.00274102726230492,0,0,0.0116923076923077,0.0291642448446833,0,2.04581248880888,0.00556002063801278
65,3,300,3.026,0.26355820201941,0.000487882964681102,0.000564490064511769,0,0,0.000984615384615385,0.00993157030612674,0,2.04264554710112,0.00114215627322368
129,1,30,3.008,3.40927886285787,0.00869125745578459,0.0127043921700313,0,0,0.125658914728682,0.175785913140898,0,2.05914052706721,0.0255686681581167
129,1,60,1.474,1.69442206438199,0.00176243216378501,0.00407314030171144,0,0,0.0335503875968992,0.100456347282487,0,2.04520749112671,0.00819927858474607
129,1,120,1.074,0.390934341441932,0.000421908384232491,0.000817932815856013,0,0,0.00927131782945737,0.0535799296498011,0,2.04251251091296,0.0016462199462418
129,1,300,1,0,0.000113447850026872,0.000102060047258103,0,0,0,0,0,2.04189356161787,0.00020411751637249
129,2,30,4.046,3.48714846383369,0.00972466312084797,0.0135340021595348,0,0,0.0735813953488372,0.102859208791131,0,2.06122226165349,0.0272518264658372
129,2,60,2.424,1.3113593430686,0.00205830620479875,0.00366075595571423,0,0,0.0216124031007752,0.0604654827433488,0,2.04580032655591,0.00737220012778066
129,2,120,2.058,0.326878722768549,0.000574152344327176,0.000764459415782781,0,0,0.00351937984496124,0.023128446273509,0,2.04281683907351,0.00153792344166485
129,2,300,2,0,0.000155000198335542,0.000127502811503953,0,0,0,0,0,2.04197668419677,0.000254975846965158
129,3,30,5.15,3.46865436823165,0.0106237508475334,0.0132460978456171,0,0,0.0548837209302325,0.0715836570457737,0,2.06302528146322,0.0266711866484862
129,3,60,3.408,1.15420985994818,0.00220302287553224,0.00320886344553715,0,0,0.0157984496124031,0.042456670877506,0,2.04608762618957,0.00645477483932216
129,3,120,3.056,0.370321855354374,0.000639475334934064,0.000813892958630236,0,0,0.00251162790697674,0.0182427662855045,0,2.04294709875233,0.00163648632586772
129,3,300,3.004,0.0894427190999937,0.000224145701191347,0.000174510361191238,0,0,0.000217054263565891,0.00485348088139489,0,2.04211508155464,0.000349731420188772
