dgp,T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,taed_mean,taed_sd
2,33,1,30,1.216,0.8848219140817425,0.585435706098149,1.3812184977537352,0.22988505747126436,1.4231556859927312,0.06729362591431556,0.13414472518906997,0,1.7237176566056311,12.50544438799746
2,33,1,60,1.068,0.36282127632915107,0.05613538551007378,0.47078688801654384,0,0,0.011617186059376729,0.05790584330008504,0,0.2866329976067765,0.8328728330910969
2,33,1,120,1.006,0.0773042812773498,4.1731205588617654e-5,4.292428964063567e-5,0,0,1.8181818181818183e-4,0.0023425539781015093,0,0.10377039317701375,0.3783548016513415
2,33,1,300,1,0,1.881008841807001e-5,1.823702903832971e-5,0,0,0,0,0,0.03611032853564517,0.13006340636754676
2,33,2,30,2.046,0.8493095156105419,0.7046015455791985,1.1828996915936243,2.622448979591837,4.663558648318658,0.10037105751391465,0.13909715739955592,0,1.0680647107558443,12.528799903747037
2,33,2,60,2.038,0.2620942326216796,0.01731115696777591,0.21093373013147831,0.068,0.8513669310600485,0.005636363636363636,0.03624050528336853,0,0.17723152128251213,0.8380913772081426
2,33,2,120,2.008,0.08917344788453135,6.265003931897155e-5,5.368862274614251e-5,0,0,7.272727272727272e-4,0.012411653601442488,0,0.07387014862185486,0.2797705438411147
2,33,2,300,2,0,2.4703540162395312e-5,2.034103297083277e-5,0,0,0,0,0,0.021978165637452588,0.10187202612468176
2,33,3,30,2.782,1.0121882483511653,1.008704580281519,1.1748496914067856,4.5955734406438635,6.216800575724255,0.13115053960124384,0.1357345462906179,0,151.36429067941432,2760.5642941527653
2,33,3,60,3.02,0.2962693894114011,0.05345964222938025,0.3166274562429582,0.212,1.2752680570117283,0.00903030303030303,0.04204425160369654,0,0.3004525720449271,0.7916403791205434
2,33,3,120,3.01,0.09959839195167118,8.504874978524067e-5,5.943084251488997e-5,0,0,4.8484848484848484e-4,0.006047231249105276,0,0.12892337131828766,0.379970604982082
2,33,3,300,3,0,3.2936647135744905e-5,2.2534968833254692e-5,0,0,0,0,0,0.028907257852791104,0.10575974438681086
2,65,1,30,1.44,1.1632309368413694,0.8145252331984862,1.5313357285722662,1.491725768321513,5.14107173443896,0.12449536279323514,0.16482415144745172,0,18.33045500766549,256.54507841394803
